CountryCode,Language,IsOfficial,Percentage,_metadata_timestamp,_metadata_read_timestamp,_metadata_read_method,_metadata_source_type,_metadata_deleted,_metadata_change_type,_metadata_uuid,_metadata_log_file,_metadata_log_position
MLI,Ful,F,13.9,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,d9541bb6-5a01-4bd9-bbd7-03f1079eea1d,,0
RUS,Bashkir,F,0.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,833f8e05-787e-415e-92d1-5ab90d835ec5,,0
CRI,Chinese,F,0.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,11d52f7d-5613-44e4-8170-12b988c3eb8a,,0
PER,Spanish,T,79.8,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,4ab10702-430c-4046-9e2a-61a4d44def73,,0
VEN,Spanish,T,96.9,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,2a031b1e-6b99-4133-a0e0-ef628910b134,,0
SVK,Czech and Moravian,F,1.1,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,ae09780d-cde0-472f-a043-b960ef96e07f,,0
USA,Polish,F,0.3,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,4f72f9c6-5918-4e27-84b5-cdd06f7e5a4b,,0
MMR,Kachin,F,1.4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,c246b7e7-db2a-43ed-b6d9-1036d9478f9e,,0
ROM,Romani,T,0.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,cc48b71f-f1fc-4ce2-8685-c5bb1c2ca9d3,,0
SLE,Kuranko,F,3.4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,edd0fa9c-1328-4987-b28e-35dd24cf248e,,0
AUT,Czech,F,0.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,f976fc49-319f-4be7-9648-5686d663ceb9,,0
CHL,Aimará,F,0.5,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,a9aed4a1-19fc-4ada-b890-9e49d6d9c915,,0
BEL,Turkish,F,0.9,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,3911627b-04a2-421d-9005-a3c6c260242f,,0
IND,Gujarati,F,4.8,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,9098f71b-9aab-4f21-94f1-fe1383cbd3df,,0
